network,diabetic,viscosity,velocity,pressure,shearStress
1,0,0.0035,0.72966,39.361,2.1246
1,0,0.0037,0.76206,39.392,2.1269
1,0,0.0039,0.73346,39.42,2.1277
1,0,0.0041,0.70687,39.445,2.1269
1,0,0.0043,0.68204,39.467,2.1254
1,0,0.0045,0.65864,39.487,2.1227
1,0,0.0047,0.6368,39.507,2.1198
1,0,0.0049,0.61617,39.526,2.1158
1,0,0.0051,0.59722,39.543,2.1123
1,0,0.0053,0.57886,39.559,2.1073
1,0,0.0055,0.56151,39.573,2.1024
1,1,0.0065,0.48853,39.629,2.0761
1,1,0.0067,0.47688,39.638,2.0709
1,1,0.0069,0.46571,39.647,2.0657
1,1,0.0071,0.45514,39.654,2.0607
1,1,0.0073,0.44830,39.661,2.0556
1,1,0.0075,0.43495,39.668,2.0506
1,1,0.0077,0.42546,39.674,2.0456
1,1,0.0079,0.41635,39.680,2.0407
1,1,0.0081,0.40760,39.685,3.0359
1,1,0.0083,0.39918,39.691,2.0316
1,1,0.0085,0.39109,39.695,2.0300
2,0,0.0035,0.78016,99.425,1.8738
2,0,0.0037,0.75249,99.456,1.8876
2,0,0.0039,0.72646,99.484,1.8797
2,0,0.0041,0.72646,99.484,1.8797
2,0,0.0043,0.67794,99.531,1.8797
2,0,0.0045,0.65615,99.551,1.8860
2,0,0.0047,0.63482,99.569,1.8908
2,0,0.0049,0.61616,99.585,1.8959
2,0,0.0051,0.59759,99.6,1.8991
2,0,0.0053,0.58094,99.613,1.9135
2,0,0.0055,0.5651,99.625,1.9316
2,1,0.0065,0.49946,99.65,2.0599
2,1,0.0067,0.48728,99.6672,2.0727
2,1,0.0069,0.47564,99.679,2.0849
2,1,0.0071,0.46451,99.685,2.0964
2,1,0.0073,0.45387,99.691,2.1073
2,1,0.0075,0.44367,99.696,2.1176
2,1,0.0077,0.43391,99.701,2.1274
2,1,0.0079,0.42453,99.705,2.1367
2,1,0.0081,0.41552,99.71,2.1455
2,1,0.0083,0.40687,99.714,2.1539
2,1,0.0085,0.39856,99.717,2.1618
