network,diabetic,viscosity,velocity,pressure,shearStress
1,0,0.0035,0.0000,24.351,0.66438
1,0,0.0037,0.0000,24.389,0.66433
1,0,0.0039,0.0000,24.423,0.66433
1,0,0.0041,0.0000,24.453,0.66432
1,0,0.0043,0.0000,24.48,0.66436
1,0,0.0045,0.0000,24.505,0.66438
1,0,0.0047,0.0000,24.527,0.66433
1,0,0.0049,0.0000,24.547,0.66445
1,0,0.0051,0.0000,24.567,0.66454
1,0,0.0053,0.0000,24.584,0.66454
1,0,0.0055,0.0000,24.599,0.66454
1,1,0.0065,0.0000,24.661,0.66457
1,1,0.0067,0.0000,24.67,0.66458
1,1,0.0069,0.0000,24.679,0.66459
1,1,0.0071,0.0000,24.688,0.6646
1,1,0.0073,0.0000,24.696,0.66461
1,1,0.0075,0.0000,24.703,0.66462
1,1,0.0077,0.0000,24.71,0.66463
1,1,0.0079,0.0000,24.717,0.66463
1,1,0.0081,0.0000,24.723,0.66464
1,1,0.0083,0.0000,24.729,0.66465
1,1,0.0085,0.0000,24.734,0.66465
2,0,0.0035,0.0000,82.05,1.4792
2,0,0.0037,0.0000,82.044,1.4933
2,0,0.0039,0.0000,82.037,1.5061
2,0,0.0041,0.0000,82.037,1.5061
2,0,0.0043,0.0000,82.037,1.5061
2,0,0.0045,0.0000,82.014,1.5411
2,0,0.0047,0.0000,82.008,1.5506
2,0,0.0049,0.0000,82,1.5582
2,0,0.0051,0.0000,81.995,1.5658
2,0,0.0053,0.0000,81.987,1.5723
2,0,0.0055,0.0000,81.981,1.5785
2,1,0.0065,0.0000,81.981,1.5997
2,1,0.0067,0.0000,81.975,1.604
2,1,0.0069,0.0000,81.968,1.6079
2,1,0.0071,0.0000,81.962,1.6116
2,1,0.0073,0.0000,81.956,1.6151
2,1,0.0075,0.0000,81.951,1.6184
2,1,0.0077,0.0000,81.946,1.6215
2,1,0.0079,0.0000,81.94,1.6244
2,1,0.0081,0.0000,81.936,1.6272
2,1,0.0083,0.0000,81.931,1.6298
2,1,0.0085,0.0000,81.926,1.6323
